selection_mode,round,global_acc,global_loss,selected_clients,avg_score
random,1,0.1813708856464201,2.729317705632065,"[3, 0, 6, 8, 2]",0.12187725633687041
random,2,0.25704105870376653,2.3411959744244055,"[2, 0, 5, 1, 4]",0.22061385245476053
random,3,0.3484051577875806,2.023288083068387,"[1, 4, 0, 2, 9]",0.26983922524862336
random,4,0.4156769596199525,1.9291219548690428,"[6, 7, 4, 8, 9]",0.42238549920429136
random,5,0.3929419748897184,1.8814175094957872,"[7, 5, 4, 9, 0]",0.3562950812966178
score,1,0.17636579572446556,2.676263383901601,"[3, 0, 6, 8, 2]",0.12222694890923728
score,2,0.2901255514082117,2.400003009866689,"[3, 2, 8, 6, 0]",0.17477530292141116
score,3,0.33864947404139806,2.1157144188355055,"[3, 2, 8, 6, 0]",0.22457681038397717
score,4,0.38089582626399726,1.9636794013171266,"[3, 2, 8, 6, 0]",0.2554008699985904
score,5,0.4095690532745165,1.870119622492329,"[3, 2, 8, 6, 0]",0.28746897730534365
